price,date,coin
78.3153692386618,2026-01-14 01:01:08.670,litecoin
78.03050124773137,2026-01-14 02:00:10.247,litecoin
95231.78139954527,2026-01-14 02:01:40.946,bitcoin
3331.748538457779,2026-01-14 02:01:52.146,ethereum
2.17088054658149,2026-01-14 02:01:55.321,ripple
78.21637459998875,2026-01-14 03:01:37.654,litecoin
2.1702148721432115,2026-01-14 03:01:40.866,ripple
95281.59673323088,2026-01-14 03:01:45.765,bitcoin
3323.7360542730935,2026-01-14 03:01:45.862,ethereum
2.1801664205641136,2026-01-14 04:01:19.553,ripple
95671.12348021378,2026-01-14 04:01:56.185,bitcoin
3350.310521018246,2026-01-14 04:02:05.745,ethereum
79.21773815418317,2026-01-14 04:03:03.141,litecoin
2.162639513147946,2026-01-14 05:01:04.228,ripple
95171.1380204102,2026-01-14 05:01:25.441,bitcoin
78.61436081821128,2026-01-14 05:01:31.089,litecoin
3334.861450416723,2026-01-14 05:02:27.143,ethereum
94961.63332445655,2026-01-14 06:01:53.085,bitcoin
78.53369349998225,2026-01-14 06:02:42.262,litecoin
2.15176857748439,2026-01-14 06:03:10.916,ripple
3327.051356180885,2026-01-14 06:03:12.788,ethereum
78.95810387966215,2026-01-14 07:00:44.498,litecoin
94919.47251802504,2026-01-14 07:02:03.644,bitcoin
3330.8844674525135,2026-01-14 07:02:03.791,ethereum
2.1454291013605826,2026-01-14 07:02:05.343,ripple
79.04011835880483,2026-01-14 08:01:31.794,litecoin
95174.50274719071,2026-01-14 08:02:17.136,bitcoin
3335.2668384398467,2026-01-14 08:02:18.113,ethereum
2.1467166332823187,2026-01-14 08:02:19.857,ripple
78.78467456831692,2026-01-14 09:01:23.014,litecoin
2.1420129168970155,2026-01-14 09:01:45.337,ripple
3327.2722963292276,2026-01-14 09:02:09.452,ethereum
94872.54700005168,2026-01-14 09:02:09.666,bitcoin
78.86604899428372,2026-01-14 10:01:38.770,litecoin
95048.5398685044,2026-01-14 10:02:47.875,bitcoin
3326.922122520005,2026-01-14 10:02:48.485,ethereum
2.1468687550190255,2026-01-14 10:02:48.602,ripple
95117.49420087186,2026-01-14 11:00:15.020,bitcoin
3314.8996166228694,2026-01-14 11:00:17.473,ethereum
2.1356580290456475,2026-01-14 11:00:38.951,ripple
78.49917027901137,2026-01-14 11:00:53.661,litecoin
77.9105772189696,2026-01-14 12:00:33.354,litecoin
3283.6826808697833,2026-01-14 12:01:20.359,ethereum
94736.55681509736,2026-01-14 12:01:26.945,bitcoin
2.1135909430757254,2026-01-14 12:02:38.166,ripple
78.67342262300903,2026-01-14 13:02:54.901,litecoin
95031.54326486876,2026-01-14 13:02:58.492,bitcoin
3294.420047669845,2026-01-14 13:02:59.275,ethereum
2.1222220691632705,2026-01-14 13:03:06.034,ripple
78.54913009035074,2026-01-14 14:00:26.071,litecoin
2.113412885993459,2026-01-14 14:00:26.579,ripple
3300.5306604350617,2026-01-14 14:00:37.855,ethereum
94939.88743121621,2026-01-14 14:01:00.464,bitcoin
2.159298060185509,2026-01-14 15:00:16.401,ripple
96447.18832252423,2026-01-14 15:02:05.124,bitcoin
3341.572651234266,2026-01-14 15:02:07.139,ethereum
79.23861188001385,2026-01-14 15:02:18.405,litecoin
79.743070641759,2026-01-14 16:00:42.514,litecoin
2.1529441084570413,2026-01-14 16:00:50.150,ripple
3345.3407808743027,2026-01-14 16:01:26.674,ethereum
96740.63602772693,2026-01-14 16:01:27.366,bitcoin
97258.4302847277,2026-01-14 17:01:06.224,bitcoin
2.1608696297622,2026-01-14 17:01:10.137,ripple
79.36324524135925,2026-01-14 17:01:14.094,litecoin
3368.19696667591,2026-01-14 17:02:45.985,ethereum
96943.94078878143,2026-01-14 18:01:38.260,bitcoin
78.14928862888978,2026-01-14 18:03:33.526,litecoin
3340.0311764784924,2026-01-14 18:03:37.247,ethereum
2.1392039870484365,2026-01-14 18:03:38.519,ripple
77.89192654378745,2026-01-14 19:01:16.170,litecoin
3338.5733721901133,2026-01-14 19:01:49.617,ethereum
2.140104501610518,2026-01-14 19:01:54.284,ripple
96770.23366760254,2026-01-14 19:01:57.570,bitcoin
2.147076722029407,2026-01-14 20:02:30.678,ripple
3363.7740528762447,2026-01-14 20:02:34.065,ethereum
97243.40419850293,2026-01-14 20:02:43.195,bitcoin
77.55045169004836,2026-01-14 20:02:57.881,litecoin
77.55816179237034,2026-01-14 21:02:30.817,litecoin
97511.39126588109,2026-01-14 21:02:37.876,bitcoin
3379.565980244238,2026-01-14 21:02:38.688,ethereum
2.145990507528744,2026-01-14 21:02:45.415,ripple
77.51230684381802,2026-01-14 22:02:34.182,litecoin
97538.10335919488,2026-01-14 22:02:38.403,bitcoin
3372.5521680912802,2026-01-14 22:02:42.032,ethereum
2.146714545183767,2026-01-14 22:02:43.401,ripple
96918.06661667113,2026-01-14 23:01:28.778,bitcoin
2.1372129745536412,2026-01-14 23:01:46.088,ripple
3351.268436243383,2026-01-14 23:01:54.021,ethereum
76.72036511981699,2026-01-14 23:02:23.991,litecoin
3354.6842221862175,2026-01-15 00:01:38.282,ethereum
2.139313488131427,2026-01-15 00:01:45.324,ripple
96933.52662115371,2026-01-15 00:01:45.890,bitcoin
76.70761169840713,2026-01-15 00:01:56.280,litecoin
2.131650992416417,2026-01-15 01:01:52.676,ripple
76.24415306790806,2026-01-15 01:02:36.636,litecoin
96711.16014527014,2026-01-15 01:02:42.044,bitcoin
3333.976929658703,2026-01-15 01:02:45.838,ethereum
76.0191372724893,2026-01-15 02:00:39.784,litecoin
96430.10046255309,2026-01-15 02:02:03.101,bitcoin
3324.9992288459566,2026-01-15 02:02:29.874,ethereum
2.118698125070033,2026-01-15 02:02:30.616,ripple
75.70924377585321,2026-01-15 03:02:19.657,litecoin
96316.17141950791,2026-01-15 03:02:53.253,bitcoin
2.1039223997260637,2026-01-15 03:02:59.756,ripple
3314.807917101872,2026-01-15 03:03:05.418,ethereum
73.96080196481891,2026-01-15 04:01:22.449,litecoin
2.0867997126685367,2026-01-15 04:01:22.582,ripple
95934.02998234588,2026-01-15 04:01:27.820,bitcoin
3283.889052313213,2026-01-15 04:01:31.375,ethereum
74.34885943660635,2026-01-15 05:02:33.579,litecoin
2.1009840696257123,2026-01-15 05:03:05.776,ripple
3306.791312604553,2026-01-15 05:03:30.953,ethereum
96390.93215996111,2026-01-15 05:03:45.942,bitcoin
74.6363891073623,2026-01-15 06:02:49.061,litecoin
2.0992842622570045,2026-01-15 06:02:51.303,ripple
3312.2248508408497,2026-01-15 06:02:55.866,ethereum
96404.04419786052,2026-01-15 06:02:57.671,bitcoin
